,Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,ipm,IPM
80,13.5,7087,7.94,72.8,2,2
81,14.26,10041,8.86,75.24,1,1
82,12.03,10238,6.2,69.04,2,2
83,13.42,8704,8.86,61.48,2,2
84,12.35,9630,7.55,73.75,2,2
85,14.7,14613,10.47,74.17,3,3
86,12.61,10934,8.61,73.23,1,1
87,13.25,9603,8.53,70.88,1,1
88,12.41,10660,7.19,76.04,1,1
89,12.71,6009,6.14,68.82,2,2
90,13.17,9900,8.36,62.51,2,2
91,13.13,11405,9.91,68.36,1,1
92,13.33,9000,5.92,71.56,2,2
93,12.89,7947,8.76,66.18,2,2
94,12.48,9025,7.57,73.47,2,2
95,12.7,7958,6.69,66.61,2,2
96,13.03,16278,10.79,74.28,3,3
97,13.91,8232,9.63,68.87,2,2
98,13.02,10981,7.46,68.98,2,2
99,11.62,5001,5.07,59.96,4,4
100,13.47,10999,9.59,72.42,1,1
101,11.85,11847,7.54,69.98,2,2
102,12.69,11828,7.12,70.34,1,1
103,12.01,11207,7.88,69.45,2,2
104,13.55,10045,8.05,67.95,2,2
105,12.93,8756,9.0,72.59,1,1
106,12.83,9354,7.32,65.16,2,2
107,13.42,8613,6.72,64.24,2,2
108,13.25,10673,8.79,72.88,1,1
109,13.58,7519,8.37,69.15,2,2
110,12.95,17560,11.12,73.24,3,3
111,11.63,11760,8.47,72.1,1,1
112,14.21,16996,10.99,74.46,3,3
113,12.64,11240,7.41,73.45,1,1
114,12.07,9297,7.36,73.11,2,2
115,14.5,12390,10.37,72.53,1,1
116,13.01,10344,7.55,75.31,1,1
117,12.55,10931,8.37,69.64,1,1
118,12.76,9417,8.26,70.39,2,2
119,12.81,12515,8.98,71.06,1,1
120,15.64,14999,9.54,71.88,1,1
121,6.25,5409,2.81,64.44,4,4
122,12.91,11059,8.17,71.2,1,1
123,12.83,14466,9.99,69.8,1,1
124,14.7,9192,10.14,69.59,1,1
125,12.9,10868,9.43,73.46,1,1
126,12.76,11799,9.66,71.11,1,1
127,12.83,11319,9.21,68.22,1,1
128,14.93,14458,10.5,74.04,3,3
129,13.71,8850,9.5,71.19,1,1
130,15.56,16989,11.2,72.0,3,3
131,13.96,9705,10.33,68.25,1,1
132,13.83,13710,10.24,73.21,1,1
133,12.94,5830,6.49,68.96,2,2
134,12.78,5901,6.87,64.97,2,2
135,12.6,12383,9.87,71.0,1,1
136,13.6,11496,8.24,67.34,1,1
137,13.11,10968,8.92,71.19,1,1
138,11.62,5102,5.08,67.18,4,4
139,12.9,13072,9.72,70.09,1,1
140,14.17,10160,9.6,66.66,1,1
141,12.5,8008,7.89,71.9,2,2
142,13.24,10476,8.77,71.19,1,1
143,12.81,7545,9.73,65.07,2,2
144,12.49,7960,7.97,67.33,2,2
145,14.99,11334,10.38,70.2,1,1
146,12.84,10302,8.39,70.27,1,1
147,12.95,14730,8.36,70.3,1,1
148,11.45,9547,6.5,74.01,2,2
149,13.81,12019,11.08,74.21,1,1
150,13.59,12180,8.7,70.29,1,1
151,13.32,6324,7.96,67.09,2,2
152,12.19,10048,6.52,71.01,2,2
153,13.83,11325,9.34,77.65,1,1
154,12.64,18762,10.81,73.35,3,3
155,12.22,7105,5.53,68.58,2,2
156,14.3,11968,11.01,73.14,1,1
157,12.01,9431,6.87,74.69,2,2
158,12.94,12073,7.84,69.83,1,1
159,13.02,8600,7.86,68.67,2,2
160,13.11,11930,9.9,72.13,1,1
161,15.21,11390,11.11,71.64,1,1
162,12.57,6898,5.36,69.75,2,2
163,13.27,8921,9.02,67.13,2,2
164,12.89,9243,7.93,67.78,2,2
165,13.11,10157,7.9,68.19,2,2
166,11.58,8393,5.33,69.94,2,2
167,13.21,5336,6.85,65.19,4,4
168,12.94,9361,7.11,67.45,2,2
169,12.71,12895,10.28,70.76,1,1
170,13.86,7434,8.51,73.4,2,2
171,13.68,8936,9.04,70.51,1,1
172,12.92,7578,7.72,65.31,2,2
173,11.71,10854,7.11,72.58,2,2
174,13.69,10800,8.89,70.83,1,1
175,12.86,11753,9.41,71.11,1,1
176,13.98,7685,9.64,67.77,2,2
177,12.41,10454,7.29,67.18,2,2
178,11.52,10128,7.93,69.36,2,2
179,12.09,11372,7.75,70.61,2,2
180,13.92,15281,11.28,74.44,3,3
181,3.87,3976,1.42,55.43,4,4
182,14.8,10374,10.13,70.72,1,1
183,12.43,11273,8.47,71.33,1,1
184,13.28,10610,5.93,66.74,2,2
185,12.98,9310,8.92,72.55,1,1
186,13.67,9190,7.6,71.32,2,2
187,12.09,7518,8.7,62.52,2,2
188,12.59,8558,9.72,70.24,2,2
189,13.84,11428,9.35,77.73,1,1
190,15.0,14465,10.17,72.96,1,1
191,12.93,7885,8.65,63.16,2,2
192,12.92,11015,7.59,68.74,2,2
193,12.37,7183,7.09,72.34,2,2
194,14.66,14466,10.46,73.93,1,1
195,15.01,14763,11.56,70.45,1,1
196,11.63,9407,6.75,74.28,2,2
197,12.19,9550,7.53,68.26,2,2
198,13.7,8808,9.41,71.18,1,1
199,13.72,9883,7.21,72.65,1,1
200,14.32,8776,8.68,67.43,2,2
201,11.49,11302,8.14,71.59,1,1
202,12.54,10738,7.51,68.64,2,2
203,14.19,12152,10.48,71.79,1,1
204,12.3,6335,9.69,63.45,2,2
205,11.99,5818,7.08,68.04,2,2
206,12.89,11470,9.11,70.57,1,1
207,13.24,11236,9.28,64.91,1,1
208,12.5,9429,7.34,76.28,1,1
209,12.53,7545,5.6,59.9,4,4
210,12.33,10071,8.45,65.76,2,2
211,13.07,13143,8.73,74.54,1,1
212,11.7,8136,6.58,67.88,2,2
213,12.13,8325,8.41,64.81,2,2
214,12.61,9858,6.71,68.93,2,2
215,13.96,9262,8.37,66.88,2,2
216,12.39,9805,7.34,66.09,2,2
217,12.8,11597,7.25,74.33,1,1
218,13.96,12319,9.56,70.67,1,1
219,12.84,8825,8.58,71.32,2,2
220,12.32,11427,8.29,70.1,1,1
221,14.2,9259,7.9,72.02,1,1
222,16.52,14481,11.58,73.65,3,3
223,11.75,10419,7.54,69.51,2,2
224,11.71,8243,7.23,67.79,2,2
225,11.57,9783,6.84,65.68,2,2
226,11.73,8445,7.82,66.49,2,2
227,15.37,15206,11.43,72.22,3,3
228,12.18,4903,5.39,60.2,4,4
229,16.53,14540,11.59,73.69,3,3
230,13.57,8491,8.35,64.91,2,2
231,12.6,10890,8.79,68.26,1,1
232,12.82,11333,9.2,68.14,1,1
233,13.82,17662,11.65,74.37,3,3
234,12.82,7580,9.76,65.14,2,2
235,12.05,6600,8.82,66.36,2,2
236,11.84,13662,8.41,70.94,1,1
237,12.2,9571,6.83,74.41,2,2
238,13.51,9280,8.16,70.48,2,2
239,11.91,7876,7.52,71.41,2,2
240,12.72,10367,8.32,68.01,2,2
241,14.5,13663,10.45,71.27,1,1
242,13.51,7210,9.08,65.22,2,2
243,13.15,11000,8.02,72.61,1,1
244,16.4,13337,11.58,69.55,1,1
245,14.34,12017,10.64,71.55,1,1
246,15.42,15843,10.66,77.55,3,3
247,13.81,12116,9.84,74.61,1,1
248,14.39,16040,11.13,72.75,3,3
249,13.85,7526,7.38,64.63,2,2
250,13.16,11032,8.01,69.04,1,1
251,13.23,7263,7.53,67.66,2,2
252,12.22,8973,7.02,70.73,2,2
253,12.04,11397,7.9,69.6,2,2
254,12.48,8189,7.86,66.85,2,2
255,12.56,11177,7.9,63.12,2,2
256,13.07,7453,8.44,66.59,2,2
257,12.13,8773,8.09,71.56,2,2
258,14.82,10071,9.33,70.14,1,1
259,12.36,10316,7.1,63.83,2,2
260,12.08,9142,6.94,75.47,2,2
261,12.4,9357,8.59,71.28,2,2
262,11.97,10951,7.79,68.9,2,2
263,12.64,8796,7.6,71.94,2,2
264,13.57,10919,7.5,68.23,2,2
265,11.81,6860,8.53,66.26,2,2
266,12.13,9524,6.88,74.74,2,2
267,13.48,11456,7.92,72.4,1,1
268,13.84,14860,10.65,71.57,1,1
269,13.24,11272,8.76,76.68,1,1
270,13.99,9666,8.71,67.19,2,2
271,14.0,11779,7.96,72.49,1,1
272,12.4,9868,7.55,66.27,2,2
273,12.32,9600,8.44,65.5,2,2
274,11.78,4807,5.65,57.55,4,4
275,12.09,9102,6.76,73.83,2,2
276,12.35,11201,7.18,70.62,2,2
277,12.31,11310,7.89,69.59,2,2
278,13.01,9692,6.11,68.73,2,2
279,12.26,12168,9.65,70.72,1,1
280,12.91,11154,7.57,69.75,1,1
281,12.08,11856,7.65,71.98,1,1
282,11.93,11530,7.43,69.21,2,2
283,12.85,12200,7.63,71.44,1,1
284,13.6,10029,8.52,61.3,2,2
285,13.2,10329,8.6,70.59,1,1
286,11.96,8850,6.31,67.04,2,2
287,13.66,11607,9.65,68.11,1,1
288,12.56,12623,8.47,68.51,1,1
289,12.5,11132,9.44,63.27,2,2
290,11.95,8461,6.42,73.4,2,2
291,9.32,4664,3.01,65.49,4,4
292,13.29,6357,7.26,66.45,2,2
293,12.57,11124,7.99,63.29,2,2
294,14.16,13991,11.42,71.9,1,1
295,13.44,8690,8.87,61.69,2,2
296,12.92,9825,8.11,70.56,2,2
297,12.46,10654,7.39,73.52,1,1
298,14.25,13464,10.72,73.61,1,1
299,14.42,8089,8.87,64.35,2,2
300,14.96,14070,11.53,73.24,3,3
301,14.31,9492,9.33,69.93,1,1
302,12.61,11017,8.69,68.82,1,1
303,7.11,5440,2.51,65.26,4,4
304,12.21,7381,8.54,71.42,2,2
305,14.29,8506,8.05,67.16,2,2
306,12.58,9798,6.86,71.4,2,2
307,16.73,15926,10.91,74.81,3,3
308,13.7,11153,9.94,73.88,1,1
309,12.77,7298,7.92,65.75,2,2
310,14.55,15049,10.54,77.12,3,3
311,12.78,7978,7.48,67.21,2,2
312,12.45,10652,8.24,69.88,1,1
313,12.43,8926,8.02,66.78,2,2
314,12.89,13235,7.04,71.36,1,1
315,12.98,10004,8.94,69.76,1,1
316,13.63,11789,8.04,68.22,1,1
317,13.19,7352,8.35,66.25,2,2
318,12.98,11013,8.48,71.47,1,1
319,10.55,6353,6.31,65.11,4,4
320,11.99,10279,7.76,71.26,2,2
321,12.2,7981,8.53,71.38,2,2
322,13.03,8489,8.15,68.72,2,2
323,12.01,11153,6.47,70.11,2,2
324,12.05,8395,7.24,70.0,2,2
325,12.57,11879,8.18,71.11,1,1
326,13.66,11223,8.51,77.36,1,1
327,12.69,11400,10.18,72.36,1,1
328,12.62,11471,8.27,67.74,2,2
329,14.42,15672,11.78,72.26,3,3
330,15.04,11135,10.65,70.5,1,1
331,13.55,9436,8.91,70.97,1,1
332,13.5,9204,7.94,70.41,2,2
333,12.87,9987,9.37,67.17,2,2
334,12.97,9336,7.91,67.31,2,2
335,14.77,10186,9.84,71.84,1,1
336,13.62,8536,6.35,67.22,2,2
337,13.88,9662,8.97,72.53,1,1
338,13.1,11380,7.39,70.97,1,1
339,12.42,11885,8.17,70.91,1,1
340,12.98,12063,9.84,70.55,1,1
341,12.69,11905,8.12,69.8,1,1
342,12.67,11193,9.23,69.86,1,1
343,12.43,10802,7.33,64.47,2,2
344,14.02,13391,9.9,73.36,1,1
345,14.14,12210,10.39,76.85,1,1
346,12.88,8171,8.82,70.09,2,2
347,11.94,9622,7.77,60.15,2,2
348,13.06,7429,8.43,66.31,2,2
349,12.69,11712,9.93,71.31,1,1
350,11.95,10735,7.55,70.01,2,2
351,12.03,11592,6.48,70.42,2,2
352,13.24,17285,11.25,74.02,3,3
353,12.52,8092,7.17,69.21,2,2
354,13.86,8170,9.03,65.74,2,2
355,12.6,11352,8.09,67.42,2,2
356,14.31,8707,8.53,67.39,2,2
357,13.61,10380,8.84,69.35,1,1
358,12.45,10790,8.15,72.66,1,1
359,12.83,12589,7.65,75.71,1,1
360,12.93,6378,7.4,67.35,2,2
361,12.39,11429,7.53,67.9,2,2
362,12.63,7625,9.5,64.95,2,2
363,13.57,11394,8.55,72.49,1,1
364,9.79,4761,2.99,64.83,4,4
365,13.31,10128,7.71,75.4,1,1
366,13.78,8856,8.4,65.53,2,2
367,13.86,10198,8.21,69.82,1,1
368,12.04,7206,7.47,72.44,2,2
369,12.07,9400,7.64,65.13,2,2
370,14.2,11745,10.73,71.93,1,1
371,12.85,9098,7.29,66.83,2,2
372,13.36,11707,7.88,71.38,1,1
373,13.99,16157,11.1,74.89,3,3
374,13.03,9392,7.47,68.19,2,2
375,4.93,5506,1.95,65.33,4,4
376,14.56,10965,11.09,69.5,1,1
377,12.98,9030,7.23,67.21,2,2
378,13.16,15716,10.13,73.41,1,1
379,14.99,14922,11.3,70.15,1,1
380,12.61,18121,10.69,73.08,1,1
381,13.33,9270,8.27,70.96,1,1
382,13.7,11710,9.99,68.76,1,1
383,12.84,12467,8.96,74.38,1,1
384,12.77,12412,10.0,71.58,1,1
385,13.1,11209,8.7,64.55,2,2
386,12.42,10082,8.19,68.1,2,2
387,12.2,6941,5.2,68.24,2,2
388,14.2,9607,10.34,68.29,1,1
389,11.87,8455,8.19,72.34,2,2
390,7.6,5030,4.02,65.8,4,4
391,13.77,11510,8.04,72.49,1,1
392,14.81,14322,9.9,72.41,1,1
393,12.47,11278,8.38,69.34,1,1
394,12.61,9539,7.7,68.03,2,2
395,13.13,5354,6.33,60.23,4,4
396,13.05,11155,8.84,73.43,1,1
397,13.08,11156,8.54,71.57,1,1
398,12.1,12835,7.74,65.82,2,2
399,11.57,8245,7.15,71.42,2,2
400,13.07,7418,7.88,65.78,2,2
401,13.2,7467,8.37,66.34,2,2
402,12.73,11150,9.24,69.93,1,1
403,12.93,10592,8.45,71.06,1,1
404,12.2,10499,6.81,71.26,2,2
405,13.06,9505,7.78,67.38,2,2
406,12.28,6396,9.55,63.34,2,2
407,12.62,6956,7.73,71.27,2,2
408,13.72,13295,9.29,72.61,1,1
409,12.35,5505,6.63,67.58,4,4
410,14.98,13331,11.34,74.5,3,3
411,12.86,8375,8.53,69.57,2,2
412,12.81,8456,8.09,71.02,2,2
413,12.29,6297,9.68,63.42,2,2
414,12.48,12264,8.46,68.27,1,1
415,13.44,11127,8.08,72.65,1,1
416,11.98,9385,7.93,69.25,2,2
417,12.1,11522,7.78,72.33,1,1
418,12.85,8795,9.39,66.71,2,2
419,12.53,11227,8.57,70.12,1,1
420,14.73,9644,10.33,69.79,1,1
421,13.21,7240,7.83,65.71,2,2
422,12.9,11052,7.51,69.46,2,2
423,12.27,8638,9.25,70.04,2,2
424,12.91,11834,7.79,69.15,1,1
425,13.26,12095,10.34,69.59,1,1
426,12.2,8525,9.0,69.71,2,2
427,13.39,8134,8.25,73.41,2,2
428,12.38,10273,7.56,69.77,2,2
429,13.24,7279,7.54,67.69,2,2
430,13.21,9090,6.07,68.74,2,2
431,6.59,5459,3.51,64.65,4,4
432,13.75,7307,7.71,68.25,2,2
433,12.63,7290,7.81,71.3,2,2
434,12.66,6198,5.96,68.32,2,2
435,11.46,9263,6.74,74.18,2,2
436,8.61,4841,3.65,65.83,4,4
437,13.74,9851,7.55,72.85,1,1
438,12.17,9143,8.41,67.73,2,2
439,12.28,9229,7.8,64.45,2,2
440,12.47,9743,7.56,73.86,1,1
441,12.29,10777,7.85,65.21,2,2
442,12.34,9433,6.7,71.28,2,2
443,13.76,7324,7.92,68.39,2,2
444,14.9,12205,10.91,72.57,1,1
445,13.87,14575,10.83,71.6,1,1
446,13.65,10198,8.32,68.52,1,1
447,12.68,8857,8.07,67.59,2,2
448,13.58,11152,9.1,72.21,1,1
449,12.7,8865,8.52,68.04,2,2
450,12.22,11753,7.54,68.87,2,2
451,12.37,10361,8.11,66.21,2,2
452,13.41,10632,7.82,68.1,2,2
453,13.97,17628,10.38,74.99,3,3
454,16.62,14335,12.2,73.77,3,3
455,15.34,12099,11.1,69.37,1,1
456,13.29,10121,9.05,71.42,1,1
457,14.53,11181,10.7,69.15,1,1
458,13.59,10750,10.75,71.95,1,1
459,12.44,8559,8.19,68.71,2,2
460,12.9,9273,8.24,67.95,2,2
461,12.99,7841,9.0,63.91,2,2
462,11.32,4859,4.94,59.56,4,4
463,12.85,10791,9.49,71.69,1,1
464,11.72,5099,5.12,67.24,4,4
465,12.73,12367,9.55,70.97,1,1
466,11.94,12959,7.98,70.5,1,1
467,12.95,5924,6.69,69.08,2,2
468,8.89,4393,3.43,66.11,4,4
469,11.77,9860,7.44,69.06,2,2
470,13.17,6188,7.49,66.39,2,2
471,13.04,10055,9.38,67.22,1,1
472,13.45,11124,9.78,69.19,1,1
473,12.07,12535,7.72,65.59,2,2
474,13.28,10736,9.19,71.67,1,1
475,13.65,8804,6.7,67.67,2,2
476,11.93,7835,5.3,59.39,4,4
477,14.4,16018,11.14,72.81,3,3
478,13.86,7476,7.39,64.91,2,2
479,12.1,9673,7.38,73.35,2,2
480,14.95,14055,11.52,73.21,3,3
481,11.61,7774,6.6,67.71,2,2
482,11.59,8328,7.39,71.42,2,2
483,15.17,10503,10.91,71.25,1,1
484,8.74,6066,4.82,57.53,4,4
485,12.81,12143,8.34,68.83,1,1
486,12.94,12116,8.01,75.63,1,1
487,12.65,10614,9.08,72.76,1,1
488,7.65,5283,2.84,65.6,4,4
489,11.98,8304,8.28,64.64,2,2
490,13.03,10316,8.52,66.41,2,2
491,12.85,9983,7.6,70.73,2,2
492,12.16,12758,7.55,75.79,1,1
493,12.68,11187,6.88,71.92,2,2
494,12.81,11807,9.86,71.13,1,1
495,13.09,11397,9.89,71.99,1,1
496,3.61,3975,1.13,55.27,4,4
497,13.67,11569,8.52,77.38,1,1
498,12.41,6294,6.96,66.58,2,2
499,11.99,12571,7.29,66.66,2,2
500,8.47,5882,4.74,56.88,4,4
501,13.6,13393,9.11,71.4,1,1
502,11.81,6832,9.18,68.25,2,2
503,13.51,10275,8.21,74.87,1,1
504,12.49,8254,7.9,67.25,2,2
505,12.86,12130,7.64,71.54,1,1
506,12.31,9974,8.08,60.83,2,2
507,11.69,5919,6.87,67.98,2,2
508,11.08,7864,8.79,60.32,2,2
509,12.34,9730,8.46,66.04,2,2
510,12.65,11318,9.61,71.03,1,1
511,12.57,9291,7.63,69.02,2,2
512,15.0,11105,10.49,70.38,1,1
513,12.34,11268,7.17,70.52,2,2
514,11.59,9195,9.7,67.97,2,2
515,13.14,5265,6.65,60.64,4,4
516,12.35,10277,7.77,65.69,2,2
517,12.46,9064,7.15,65.93,2,2
518,8.33,4609,2.78,63.14,4,4
519,16.03,14108,11.8,70.2,3,3
520,12.69,7566,7.94,66.27,2,2
521,13.24,11956,7.87,69.77,1,1
522,13.71,11304,6.41,66.94,2,2
523,11.89,6721,8.0,61.87,2,2
524,13.38,8548,7.44,62.53,2,2
525,12.48,11190,8.42,69.36,1,1
526,13.32,8889,8.44,66.82,2,2
527,13.08,7660,8.12,66.13,2,2
528,11.34,5809,6.65,67.62,4,4
529,14.49,13648,10.3,71.18,1,1
530,12.54,10662,8.3,69.98,1,1
531,13.32,12132,9.92,71.31,1,1
532,12.42,8910,8.01,66.69,2,2
533,15.59,14015,9.55,74.99,1,1
534,6.14,5633,2.61,64.34,4,4
535,12.87,8126,8.6,69.99,2,2
536,13.78,8253,8.35,70.18,2,2
537,12.63,12587,8.81,68.99,1,1
538,15.72,13166,11.26,70.5,1,1
539,12.41,10047,8.18,68.04,2,2
540,13.14,7276,7.27,66.77,2,2
541,12.73,13117,8.53,70.68,1,1
542,12.92,9644,7.75,64.1,2,2
543,12.46,8666,7.4,68.03,2,2
544,12.69,12720,7.34,75.62,1,1
545,11.63,8034,7.08,60.24,2,2
546,12.66,5817,6.0,68.5,2,2
547,11.53,10220,8.03,69.45,2,2
548,14.26,13281,10.73,73.74,1,1
549,14.64,12197,10.93,71.37,1,1
550,12.83,9908,7.57,70.31,2,2
551,13.68,11428,8.56,77.47,1,1
552,13.44,10414,9.13,71.93,1,1
553,12.68,10221,7.38,71.72,2,2
554,13.11,12057,6.79,66.79,2,2
555,13.07,13463,7.24,71.83,1,1
556,13.05,12999,8.51,74.46,1,1
557,11.79,7552,5.86,67.71,2,2
558,12.54,11492,8.03,71.05,1,1
559,13.85,7357,8.51,68.12,2,2
560,12.14,9343,7.24,75.58,2,2
561,11.76,8569,4.36,67.79,2,2
562,12.62,11225,9.45,63.44,2,2
563,11.76,10504,8.97,70.24,1,1
564,13.68,8140,9.09,68.45,2,2
565,14.45,12372,11.16,73.55,1,1
566,12.73,7969,7.97,68.19,2,2
567,12.57,11236,8.51,69.69,1,1
568,14.21,7463,7.58,63.94,2,2
569,12.83,12814,8.8,70.53,1,1
570,12.68,10731,9.24,71.26,1,1
571,14.79,17854,10.47,74.13,3,3
572,12.98,9505,7.3,74.19,1,1
573,12.17,9163,6.92,66.34,2,2
574,14.87,14761,10.69,77.22,3,3
575,11.76,8585,7.85,67.07,2,2
576,13.6,9813,9.02,67.79,1,1
577,12.26,9810,6.52,71.84,2,2
578,12.45,9808,7.18,63.57,2,2
579,13.67,10998,7.87,68.79,1,1
580,13.18,9535,7.69,67.23,2,2
581,12.32,10481,8.16,69.97,2,2
582,11.83,8344,7.74,68.54,2,2
583,11.93,9945,7.24,67.98,2,2
584,14.17,10243,9.68,66.45,1,1
585,12.47,11524,8.34,70.18,1,1
586,12.9,10357,8.23,70.89,1,1
587,12.94,10153,8.17,72.14,1,1
588,14.2,7039,7.39,63.69,2,2
589,12.97,11280,8.71,68.39,1,1
590,12.83,7780,7.84,67.78,2,2
591,12.27,7041,6.06,68.86,2,2
592,13.89,14821,8.72,64.81,1,1
593,14.94,14091,11.51,73.19,3,3
594,15.2,11367,10.91,71.6,1,1
595,13.76,15755,11.09,74.76,3,3
596,13.04,6298,6.32,68.02,2,2
597,14.14,14549,10.68,74.49,3,3
598,14.04,11833,8.36,72.65,1,1
599,13.3,8743,8.12,66.2,2,2
600,13.16,11473,10.4,69.01,1,1
601,12.0,9420,7.96,69.26,2,2
602,12.82,6281,7.09,64.73,2,2
603,13.44,8348,9.14,70.87,2,2
604,16.74,16060,10.92,74.92,3,3
605,12.98,8594,8.25,66.5,2,2
606,14.91,14609,10.25,73.98,3,3
607,12.56,10735,8.47,67.79,2,2
608,13.05,8877,9.4,66.85,2,2
609,14.18,16630,10.63,74.0,3,3
610,15.15,15636,9.54,73.77,3,3
611,11.99,9914,7.24,73.14,2,2
612,11.57,7640,6.6,71.65,2,2
613,12.47,11500,7.69,67.85,2,2
614,13.29,9179,7.75,70.11,2,2
615,11.08,6954,6.69,65.79,2,2
616,13.12,11410,8.97,64.82,2,2
617,12.86,10001,7.48,75.29,1,1
618,12.13,9489,7.15,75.48,2,2
619,13.31,9444,8.25,70.73,1,1
620,12.25,10342,6.92,71.99,2,2
621,13.23,9378,8.89,68.83,2,2
622,12.62,9235,7.73,64.82,2,2
623,12.22,8985,8.58,68.77,2,2
624,13.27,8209,7.91,67.56,2,2
625,8.62,4350,3.2,66.06,4,4
626,12.25,7403,7.08,63.81,2,2
627,11.98,10312,7.68,71.18,2,2
628,12.42,7305,8.22,67.07,2,2
629,14.17,11647,10.25,71.43,1,1
630,13.33,12435,9.53,72.32,1,1
631,11.95,9786,7.0,72.98,2,2
632,12.32,5225,6.48,67.16,4,4
633,9.22,4487,3.33,63.75,4,4
634,12.84,9343,8.94,72.54,1,1
635,11.83,8329,7.97,72.03,2,2
636,12.57,10737,8.51,68.08,2,2
637,12.95,18128,11.05,72.67,3,3
638,11.88,8546,8.2,72.52,2,2
639,12.65,9982,8.05,70.65,2,2
640,11.82,8099,7.51,71.22,2,2
641,13.14,11650,7.8,71.22,1,1
642,12.28,7431,7.36,64.89,2,2
643,11.88,10797,7.23,69.88,2,2
644,13.93,10323,8.33,68.75,1,1
645,12.99,10558,7.43,68.74,2,2
646,12.28,7468,7.3,67.38,2,2
647,11.75,8580,7.84,67.04,2,2
648,7.62,4895,4.27,66.05,4,4
649,12.58,10297,7.41,70.25,2,2
650,14.37,7599,8.84,68.47,2,2
651,12.3,10424,7.86,65.48,2,2
652,13.23,16994,11.24,73.92,3,3
653,14.88,14911,10.9,77.32,3,3
654,12.55,11486,8.82,67.09,1,1
655,12.48,7653,7.69,71.56,2,2
656,13.98,19698,11.16,74.38,3,3
657,13.95,17325,10.06,74.71,3,3
658,13.6,11048,9.23,72.64,1,1
659,12.73,9444,7.74,69.43,2,2
